1121,11/21/2002,AERO COMMANDER,1539,0,11.95,8511.79926
150,04/14/1992,CESSNA,2235,0,51.53333333333333,34185.60028
172E,06/06/2008,CESSNA,1539,0,8.95,6516.21766
172M,08/13/1993,CESSNA,1493,0,10.5,6995.80098
182P,03/28/1978,CESSNA,432,0,56.38333333333333,38252.40246
206B,04/16/2004,BELL,1593,0,22.433333333333334,16043.51046
210-5(205),06/19/1991,CESSNA,893,0,13.683333333333334,9527.2928
421C,02/12/1996,CESSNA,1929,0,69.35,46538.89412
421C,10/24/2007,CESSNA,761,0,24.383333333333333,16165.8203
550,09/12/2005,CESSNA,851,0,29.316666666666666,19481.060699999998
60,06/19/1997,BEECH,761,0,14.6,10288.51062
65-A90,10/28/2004,BEECH,1565,0,43.03333333333333,35904.3754
737-322,01/03/1989,BOEING,2811,0,49.9,32500.6213
737-322,01/04/1989,BOEING,2817,0,61.1,37203.11278
737-322,01/09/1987,BOEING,2811,0,42.61666666666667,25862.0938
737-322,01/13/1989,BOEING,383,0,13.95,9499.93402
737-322,01/14/1988,BOEING,2323,0,31.15,20549.66246
737-322,01/16/1987,BOEING,1289,0,8.616666666666667,6265.16062
737-322,01/20/1988,BOEING,1034,0,28.416666666666668,19650.0414
737-322,01/21/1988,BOEING,2811,0,46.81666666666667,29143.53806
737-322,01/26/1989,BOEING,1034,0,24.2,16658.27834
737-322,02/06/1987,BOEING,2811,0,42.233333333333334,25813.8136
737-322,02/10/1987,BOEING,415,0,31.5,20612.42672
737-322,02/19/1987,BOEING,590,0,9.716666666666667,6966.8328599999995
737-322,03/10/1987,BOEING,2809,0,26.033333333333335,18140.48048
737-322,03/27/1987,BOEING,2070,0,21.583333333333332,14448.65452
737-322,03/29/2006,BOEING,7001,0,309.56666666666666,189158.60492
737-322,04/07/1989,BOEING,2634,0,33.11666666666667,21629.5296
737-322,04/16/1987,BOEING,2815,0,73.15,45064.73868
737-322,04/19/1988,BOEING,1698,0,13.35,9282.67312
737-322,05/07/2004,BOEING,2815,0,120.23333333333333,72116.13474
737-322,05/11/2004,BOEING,1034,0,13.483333333333333,8803.0898
737-322,05/12/1987,BOEING,939,0,33.43333333333333,23203.46412
737-322,05/12/2004,BOEING,2811,0,44.233333333333334,26649.06106
737-322,05/13/2004,BOEING,783,0,7.916666666666667,5025.96882
737-322,05/30/1990,BOEING,5632,0,69.65,41244.165519999995
737-322,06/08/2006,BOEING,1510,0,32.43333333333334,23898.699
737-322,06/21/2004,BOEING,2165,0,33.78333333333333,22839.75328
737-322,06/30/2006,BOEING,2811,0,62.15,38218.60632
737-322,07/14/2004,BOEING,1789,0,48.25,34451.14138
737-322,07/14/2006,BOEING,1822,0,13.45,9290.71982
737-322,07/24/1990,BOEING,5632,0,232.0,137738.58258
737-322,07/27/2006,BOEING,415,0,11.483333333333333,7773.1122
737-322,08/19/2004,BOEING,2817,0,112.01666666666667,68112.09682
737-322,08/29/2007,BOEING,5626,0,273.20000000000005,161815.91832
737-322,09/05/2007,BOEING,2817,0,121.48333333333333,72557.09389999999
737-322,09/06/2007,BOEING,2817,0,108.26666666666667,64582.8142
737-322,09/08/1988,BOEING,1666,0,14.416666666666666,10256.32382
737-322,09/11/2007,BOEING,337,0,20.033333333333335,14744.773079999999
737-322,09/12/2005,BOEING,1034,0,31.733333333333334,21325.36434
737-322,09/28/1989,BOEING,6384,0,263.5833333333333,158655.17456
737-322,10/06/2004,BOEING,2819,0,108.53333333333333,64397.7401
