Численность постоянного населения по предварительным итогам Всероссийской переписи населения (2002, тысяча человек, значение показателя за год);;;
;;;
;;;Численность постоянного населения по предварительным итогам Всероссийской переписи населения
Российская Федерация;все население;Всего;145181,9
Российская Федерация;все население;женщины;77624,6
Российская Федерация;все население;мужчины;67557,3
Российская Федерация;городское население;Всего;106470,2
Российская Федерация;городское население;женщины;57337,9
Российская Федерация;городское население;мужчины;49132,3
Российская Федерация;сельское население;Всего;38711,7
Российская Федерация;сельское население;женщины;20286,7
Российская Федерация;сельское население;мужчины;18425,0
    Центральный федеральный округ;все население;Всего;37991,0
    Центральный федеральный округ;все население;женщины;20510,4
    Центральный федеральный округ;все население;мужчины;17480,6
    Центральный федеральный округ;городское население;Всего;30358,8
    Центральный федеральный округ;городское население;женщины;16404,9
    Центральный федеральный округ;городское население;мужчины;13953,9
    Центральный федеральный округ;сельское население;Всего;7632,2
    Центральный федеральный округ;сельское население;женщины;4105,5
    Центральный федеральный округ;сельское население;мужчины;3526,7
        Белгородская область;все население;Всего;1512,4
        Белгородская область;все население;женщины;818,5
        Белгородская область;все население;мужчины;693,9
        Белгородская область;городское население;Всего;986,3
        Белгородская область;городское население;женщины;532,8
        Белгородская область;городское население;мужчины;453,5
        Белгородская область;сельское население;Всего;526,1
        Белгородская область;сельское население;женщины;285,7
        Белгородская область;сельское население;мужчины;240,4
        Брянская область;все население;Всего;1378,9
        Брянская область;все население;женщины;749,6
        Брянская область;все население;мужчины;629,3
        Брянская область;городское население;Всего;943,5
        Брянская область;городское население;женщины;514,7
        Брянская область;городское население;мужчины;428,8
        Брянская область;сельское население;Всего;435,4
        Брянская область;сельское население;женщины;234,9
        Брянская область;сельское население;мужчины;200,5
        Владимирская область;все население;Всего;1524,9
        Владимирская область;все население;женщины;834,6
        Владимирская область;все население;мужчины;690,3
        Владимирская область;городское население;Всего;1215,4
        Владимирская область;городское население;женщины;666,3
        Владимирская область;городское население;мужчины;549,1
        Владимирская область;сельское население;Всего;309,5
        Владимирская область;сельское население;женщины;168,3
        Владимирская область;сельское население;мужчины;141,2
        Воронежская область;все население;Всего;2379,0
        Воронежская область;все население;женщины;1290,5
