Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Пермский край;728440,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Бардымский район;29185,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Березовский район;18944,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Большесосновский район;16576,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Верещагинский район;22812,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Горнозаводский район;2084,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Еловский район;14186,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Ильинский район;11324,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Карагайский район;26054,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Кишертский район;16803,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Красновишерский район;10410,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Куединский район;33745,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Кунгурский район;48188,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Нытвенский район;14808,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Октябрьский район;22847,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Ординский район;17717,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Осинский район;10911,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Оханский район;10222,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Очерский район;7160,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Пермский район;74633,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Сивинский район;18680,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Соликамский район;16441,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Суксунский район;14750,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Уинский район;14480,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Усольский район;6220,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Частинский район;14842,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Чердынский район;24876,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Чернушинский район;18566,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Чусовской район;11199,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;г. Пермь;37,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Александровский район;6360,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;г. Березники;2193,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Гремячинский район;208,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Губахинский район;1995,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Добрянский район;13550,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Кизеловский район;172,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Краснокамский район;8351,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Лысьвенский район;16361,00
1;01.01.2000;Численность постоянного сельского населения по состоянию на 1 января;Чайковский район;19244,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Пермский край;731147,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Бардымский район;29019,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Березовский район;18845,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Большесосновский район;16483,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Верещагинский район;22810,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Горнозаводский район;1949,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Еловский район;14151,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Ильинский район;11222,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Карагайский район;25870,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Кишертский район;16694,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Красновишерский район;10292,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Куединский район;33733,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Кунгурский район;48151,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Нытвенский район;14683,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Октябрьский район;22735,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Ординский район;17661,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Осинский район;10889,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Оханский район;10199,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Очерский район;7174,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Пермский район;74604,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Сивинский район;18741,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Соликамский район;16251,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Суксунский район;14738,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Уинский район;14448,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Усольский район;6109,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Частинский район;14843,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Чердынский район;24245,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Чернушинский район;18550,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Чусовской район;10964,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;г. Пермь;37,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Александровский район;6307,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;г. Березники;2190,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Гремячинский район;207,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Губахинский район;1963,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Добрянский район;13502,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Кизеловский район;159,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Краснокамский район;14653,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Лысьвенский район;16400,00
1;01.01.2001;Численность постоянного сельского населения по состоянию на 1 января;Чайковский район;19427,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Пермский край;731841,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Бардымский район;28788,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Березовский район;18746,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Большесосновский район;16354,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Верещагинский район;22749,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Горнозаводский район;1747,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Еловский район;14109,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Ильинский район;11114,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Карагайский район;25680,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Кишертский район;16532,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Красновишерский район;10265,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Куединский район;33779,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Кунгурский район;48091,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Нытвенский район;14516,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Октябрьский район;22359,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Ординский район;17685,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Осинский район;10832,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Оханский район;10090,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Очерский район;7160,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Пермский район;74579,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Сивинский район;18743,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Соликамский район;15953,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Суксунский район;14649,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Уинский район;14447,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Усольский район;5990,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Частинский район;14834,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Чердынский район;23749,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Чернушинский район;18359,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Чусовской район;10883,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;г. Пермь;37,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Александровский район;6286,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;г. Березники;2204,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Гремячинский район;193,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Губахинский район;1953,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Добрянский район;13415,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Кизеловский район;152,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Краснокамский район;14897,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Лысьвенский район;16416,00
1;01.01.2002;Численность постоянного сельского населения по состоянию на 1 января;Чайковский район;24281,00
1;01.01.2003;Численность постоянного сельского населения по состоянию на 1 января;Пермский край;699802,00
1;01.01.2003;Численность постоянного сельского населения по состоянию на 1 января;Бардымский район;27804,00
