Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Пермский край;2228082,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;24382,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;33130,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;13016,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;19499,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;37323,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;16180,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Осинский район;26338,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Оханский район;9019,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Очерский район;18211,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;9252,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Усольский район;7613,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;12012,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;36536,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;69796,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;1020494,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Александровский район;35292,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;г. Березники;182758,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;24026,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;47565,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;51313,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;48979,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;67833,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;75357,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;75590,00
1;01.01.2000;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;105955,00
