Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2000;Число женщин на 1 января;Пермский край;1554702,00
1;01.01.2000;Число женщин на 1 января;Бардымский район;15607,00
1;01.01.2000;Число женщин на 1 января;Березовский район;9954,00
1;01.01.2000;Число женщин на 1 января;Большесосновский район;8887,00
1;01.01.2000;Число женщин на 1 января;Верещагинский район;25396,00
1;01.01.2000;Число женщин на 1 января;Горнозаводский район;18120,00
1;01.01.2000;Число женщин на 1 января;Еловский район;7431,00
1;01.01.2000;Число женщин на 1 января;Ильинский район;12953,00
1;01.01.2000;Число женщин на 1 января;Карагайский район;13987,00
1;01.01.2000;Число женщин на 1 января;Кишертский район;8918,00
1;01.01.2000;Число женщин на 1 января;Красновишерский район;15674,00
1;01.01.2000;Число женщин на 1 января;Куединский район;17832,00
1;01.01.2000;Число женщин на 1 января;Кунгурский район;25339,00
1;01.01.2000;Число женщин на 1 января;Нытвенский район;27544,00
1;01.01.2000;Число женщин на 1 января;Октябрьский район;20440,00
1;01.01.2000;Число женщин на 1 января;Ординский район;9194,00
1;01.01.2000;Число женщин на 1 января;Осинский район;19091,00
1;01.01.2000;Число женщин на 1 января;Оханский район;10036,00
1;01.01.2000;Число женщин на 1 января;Очерский район;13273,00
1;01.01.2000;Число женщин на 1 января;Пермский район;48499,00
1;01.01.2000;Число женщин на 1 января;Сивинский район;9786,00
1;01.01.2000;Число женщин на 1 января;Соликамский район;8751,00
1;01.01.2000;Число женщин на 1 января;Суксунский район;12641,00
1;01.01.2000;Число женщин на 1 января;Уинский район;7584,00
1;01.01.2000;Число женщин на 1 января;Усольский район;7310,00
1;01.01.2000;Число женщин на 1 января;Частинский район;7575,00
1;01.01.2000;Число женщин на 1 января;Чердынский район;16442,00
1;01.01.2000;Число женщин на 1 января;Чернушинский район;28960,00
1;01.01.2000;Число женщин на 1 января;Чусовской район;42467,00
1;01.01.2000;Число женщин на 1 января;г. Пермь;545064,00
1;01.01.2000;Число женщин на 1 января;Александровский район;20966,00
1;01.01.2000;Число женщин на 1 января;г. Березники;91671,00
1;01.01.2000;Число женщин на 1 января;Гремячинский район;12383,00
1;01.01.2000;Число женщин на 1 января;Губахинский район;26849,00
1;01.01.2000;Число женщин на 1 января;Добрянский район;33788,00
1;01.01.2000;Число женщин на 1 января;Кизеловский район;24701,00
1;01.01.2000;Число женщин на 1 января;Краснокамский район;40380,00
1;01.01.2000;Число женщин на 1 января;г. Кунгур;41610,00
1;01.01.2000;Число женщин на 1 января;Лысьвенский район;49527,00
1;01.01.2000;Число женщин на 1 января;г. Соликамск;53573,00
1;01.01.2000;Число женщин на 1 января;Чайковский район;59281,00
1;01.01.2001;Число женщин на 1 января;Пермский край;1548035,00
1;01.01.2001;Число женщин на 1 января;Бардымский район;15513,00
1;01.01.2001;Число женщин на 1 января;Березовский район;9902,00
1;01.01.2001;Число женщин на 1 января;Большесосновский район;8863,00
1;01.01.2001;Число женщин на 1 января;Верещагинский район;25468,00
1;01.01.2001;Число женщин на 1 января;Горнозаводский район;17924,00
1;01.01.2001;Число женщин на 1 января;Еловский район;7416,00
1;01.01.2001;Число женщин на 1 января;Ильинский район;12833,00
1;01.01.2001;Число женщин на 1 января;Карагайский район;13912,00
1;01.01.2001;Число женщин на 1 января;Кишертский район;8851,00
1;01.01.2001;Число женщин на 1 января;Красновишерский район;15571,00
1;01.01.2001;Число женщин на 1 января;Куединский район;17810,00
1;01.01.2001;Число женщин на 1 января;Кунгурский район;25271,00
1;01.01.2001;Число женщин на 1 января;Нытвенский район;27506,00
1;01.01.2001;Число женщин на 1 января;Октябрьский район;20574,00
1;01.01.2001;Число женщин на 1 января;Ординский район;9144,00
1;01.01.2001;Число женщин на 1 января;Осинский район;19076,00
1;01.01.2001;Число женщин на 1 января;Оханский район;10020,00
1;01.01.2001;Число женщин на 1 января;Очерский район;13191,00
1;01.01.2001;Число женщин на 1 января;Пермский район;48535,00
1;01.01.2001;Число женщин на 1 января;Сивинский район;9786,00
1;01.01.2001;Число женщин на 1 января;Соликамский район;8711,00
1;01.01.2001;Число женщин на 1 января;Суксунский район;12634,00
1;01.01.2001;Число женщин на 1 января;Уинский район;7563,00
1;01.01.2001;Число женщин на 1 января;Усольский район;7180,00
1;01.01.2001;Число женщин на 1 января;Частинский район;7574,00
1;01.01.2001;Число женщин на 1 января;Чердынский район;16111,00
1;01.01.2001;Число женщин на 1 января;Чернушинский район;28980,00
1;01.01.2001;Число женщин на 1 января;Чусовской район;42249,00
1;01.01.2001;Число женщин на 1 января;г. Пермь;542589,00
1;01.01.2001;Число женщин на 1 января;Александровский район;20877,00
1;01.01.2001;Число женщин на 1 января;г. Березники;91554,00
1;01.01.2001;Число женщин на 1 января;Гремячинский район;11997,00
1;01.01.2001;Число женщин на 1 января;Губахинский район;26366,00
1;01.01.2001;Число женщин на 1 января;Добрянский район;33891,00
1;01.01.2001;Число женщин на 1 января;Кизеловский район;23791,00
1;01.01.2001;Число женщин на 1 января;Краснокамский район;40681,00
1;01.01.2001;Число женщин на 1 января;г. Кунгур;41359,00
1;01.01.2001;Число женщин на 1 января;Лысьвенский район;49319,00
1;01.01.2001;Число женщин на 1 января;г. Соликамск;53354,00
1;01.01.2001;Число женщин на 1 января;Чайковский район;59436,00
1;01.01.2002;Число женщин на 1 января;Пермский край;1540425,00
1;01.01.2002;Число женщин на 1 января;Бардымский район;15427,00
1;01.01.2002;Число женщин на 1 января;Березовский район;9850,00
1;01.01.2002;Число женщин на 1 января;Большесосновский район;8794,00
1;01.01.2002;Число женщин на 1 января;Верещагинский район;25511,00
1;01.01.2002;Число женщин на 1 января;Горнозаводский район;17709,00
1;01.01.2002;Число женщин на 1 января;Еловский район;7394,00
1;01.01.2002;Число женщин на 1 января;Ильинский район;12761,00
1;01.01.2002;Число женщин на 1 января;Карагайский район;13825,00
1;01.01.2002;Число женщин на 1 января;Кишертский район;8765,00
1;01.01.2002;Число женщин на 1 января;Красновишерский район;15470,00
1;01.01.2002;Число женщин на 1 января;Куединский район;17834,00
1;01.01.2002;Число женщин на 1 января;Кунгурский район;25245,00
1;01.01.2002;Число женщин на 1 января;Нытвенский район;27367,00
1;01.01.2002;Число женщин на 1 января;Октябрьский район;20491,00
1;01.01.2002;Число женщин на 1 января;Ординский район;9156,00
1;01.01.2002;Число женщин на 1 января;Осинский район;19072,00
1;01.01.2002;Число женщин на 1 января;Оханский район;9935,00
1;01.01.2002;Число женщин на 1 января;Очерский район;13154,00
1;01.01.2002;Число женщин на 1 января;Пермский район;48547,00
1;01.01.2002;Число женщин на 1 января;Сивинский район;9787,00
1;01.01.2002;Число женщин на 1 января;Соликамский район;8551,00
1;01.01.2002;Число женщин на 1 января;Суксунский район;12630,00
1;01.01.2002;Число женщин на 1 января;Уинский район;7562,00
1;01.01.2002;Число женщин на 1 января;Усольский район;7025,00
1;01.01.2002;Число женщин на 1 января;Частинский район;7587,00
1;01.01.2002;Число женщин на 1 января;Чердынский район;15837,00
1;01.01.2002;Число женщин на 1 января;Чернушинский район;29029,00
1;01.01.2002;Число женщин на 1 января;Чусовской район;41890,00
1;01.01.2002;Число женщин на 1 января;г. Пермь;539665,00
1;01.01.2002;Число женщин на 1 января;Александровский район;20793,00
1;01.01.2002;Число женщин на 1 января;г. Березники;91302,00
1;01.01.2002;Число женщин на 1 января;Гремячинский район;11563,00
1;01.01.2002;Число женщин на 1 января;Губахинский район;25961,00
1;01.01.2002;Число женщин на 1 января;Добрянский район;33992,00
1;01.01.2002;Число женщин на 1 января;Кизеловский район;23132,00
1;01.01.2002;Число женщин на 1 января;Краснокамский район;40680,00
1;01.01.2002;Число женщин на 1 января;г. Кунгур;41113,00
1;01.01.2002;Число женщин на 1 января;Лысьвенский район;49169,00
1;01.01.2002;Число женщин на 1 января;г. Соликамск;53194,00
1;01.01.2002;Число женщин на 1 января;Чайковский район;59700,00
1;01.01.2003;Число женщин на 1 января;Пермский край;1511280,00
1;01.01.2003;Число женщин на 1 января;Бардымский район;14715,00
1;01.01.2003;Число женщин на 1 января;Березовский район;9707,00
1;01.01.2003;Число женщин на 1 января;Большесосновский район;8067,00
1;01.01.2003;Число женщин на 1 января;Верещагинский район;23556,00
1;01.01.2003;Число женщин на 1 января;Горнозаводский район;16034,00
1;01.01.2003;Число женщин на 1 января;Еловский район;6818,00
1;01.01.2003;Число женщин на 1 января;Ильинский район;11209,00
1;01.01.2003;Число женщин на 1 января;Карагайский район;13171,00
1;01.01.2003;Число женщин на 1 января;Кишертский район;7945,00
1;01.01.2003;Число женщин на 1 января;Красновишерский район;14553,00
1;01.01.2003;Число женщин на 1 января;Куединский район;16363,00
1;01.01.2003;Число женщин на 1 января;Кунгурский район;24303,00
1;01.01.2003;Число женщин на 1 января;Нытвенский район;25592,00
1;01.01.2003;Число женщин на 1 января;Октябрьский район;19096,00
1;01.01.2003;Число женщин на 1 января;Ординский район;9028,00
1;01.01.2003;Число женщин на 1 января;Осинский район;17872,00
1;01.01.2003;Число женщин на 1 января;Оханский район;9442,00
1;01.01.2003;Число женщин на 1 января;Очерский район;13429,00
1;01.01.2003;Число женщин на 1 января;Пермский район;48282,00
1;01.01.2003;Число женщин на 1 января;Сивинский район;9225,00
1;01.01.2003;Число женщин на 1 января;Соликамский район;8218,00
1;01.01.2003;Число женщин на 1 января;Суксунский район;11568,00
1;01.01.2003;Число женщин на 1 января;Уинский район;7021,00
1;01.01.2003;Число женщин на 1 января;Усольский район;7200,00
1;01.01.2003;Число женщин на 1 января;Частинский район;7595,00
1;01.01.2003;Число женщин на 1 января;Чердынский район;14192,00
1;01.01.2003;Число женщин на 1 января;Чернушинский район;28217,00
1;01.01.2003;Число женщин на 1 января;Чусовской район;41570,00
1;01.01.2003;Число женщин на 1 января;г. Пермь;554583,00
1;01.01.2003;Число женщин на 1 января;Александровский район;19375,00
1;01.01.2003;Число женщин на 1 января;г. Березники;96258,00
1;01.01.2003;Число женщин на 1 января;Гремячинский район;9817,00
