Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2000;Число мужчин на 1 января;Пермский край;1401820,00
1;01.01.2000;Число мужчин на 1 января;Бардымский район;13578,00
1;01.01.2000;Число мужчин на 1 января;Березовский район;8990,00
1;01.01.2000;Число мужчин на 1 января;Большесосновский район;7689,00
1;01.01.2000;Число мужчин на 1 января;Верещагинский район;21798,00
1;01.01.2000;Число мужчин на 1 января;Горнозаводский район;17094,00
1;01.01.2000;Число мужчин на 1 января;Еловский район;6755,00
1;01.01.2000;Число мужчин на 1 января;Ильинский район;11387,00
1;01.01.2000;Число мужчин на 1 января;Карагайский район;12067,00
1;01.01.2000;Число мужчин на 1 января;Кишертский район;7885,00
1;01.01.2000;Число мужчин на 1 января;Красновишерский район;14235,00
1;01.01.2000;Число мужчин на 1 января;Куединский район;15913,00
1;01.01.2000;Число мужчин на 1 января;Кунгурский район;22849,00
1;01.01.2000;Число мужчин на 1 января;Нытвенский район;24587,00
1;01.01.2000;Число мужчин на 1 января;Октябрьский район;18587,00
1;01.01.2000;Число мужчин на 1 января;Ординский район;8523,00
1;01.01.2000;Число мужчин на 1 января;Осинский район;18158,00
1;01.01.2000;Число мужчин на 1 января;Оханский район;9205,00
1;01.01.2000;Число мужчин на 1 января;Очерский район;12098,00
1;01.01.2000;Число мужчин на 1 января;Пермский район;43142,00
1;01.01.2000;Число мужчин на 1 января;Сивинский район;8894,00
1;01.01.2000;Число мужчин на 1 января;Соликамский район;7690,00
1;01.01.2000;Число мужчин на 1 января;Суксунский район;11361,00
1;01.01.2000;Число мужчин на 1 января;Уинский район;6896,00
1;01.01.2000;Число мужчин на 1 января;Усольский район;6523,00
1;01.01.2000;Число мужчин на 1 января;Частинский район;7267,00
1;01.01.2000;Число мужчин на 1 января;Чердынский район;20446,00
1;01.01.2000;Число мужчин на 1 января;Чернушинский район;26142,00
1;01.01.2000;Число мужчин на 1 января;Чусовской район;38528,00
1;01.01.2000;Число мужчин на 1 января;г. Пермь;475467,00
1;01.01.2000;Число мужчин на 1 января;Александровский район;20686,00
1;01.01.2000;Число мужчин на 1 января;г. Березники;93280,00
1;01.01.2000;Число мужчин на 1 января;Гремячинский район;11851,00
1;01.01.2000;Число мужчин на 1 января;Губахинский район;22711,00
1;01.01.2000;Число мужчин на 1 января;Добрянский район;31075,00
1;01.01.2000;Число мужчин на 1 января;Кизеловский район;24450,00
1;01.01.2000;Число мужчин на 1 января;Краснокамский район;35804,00
1;01.01.2000;Число мужчин на 1 января;г. Кунгур;33747,00
1;01.01.2000;Число мужчин на 1 января;Лысьвенский район;42424,00
1;01.01.2000;Число мужчин на 1 января;г. Соликамск;52382,00
1;01.01.2000;Число мужчин на 1 января;Чайковский район;54523,00
1;01.01.2001;Число мужчин на 1 января;Пермский край;1392670,00
1;01.01.2001;Число мужчин на 1 января;Бардымский район;13506,00
1;01.01.2001;Число мужчин на 1 января;Березовский район;8943,00
1;01.01.2001;Число мужчин на 1 января;Большесосновский район;7620,00
1;01.01.2001;Число мужчин на 1 января;Верещагинский район;21813,00
1;01.01.2001;Число мужчин на 1 января;Горнозаводский район;16894,00
1;01.01.2001;Число мужчин на 1 января;Еловский район;6735,00
1;01.01.2001;Число мужчин на 1 января;Ильинский район;11290,00
1;01.01.2001;Число мужчин на 1 января;Карагайский район;11958,00
1;01.01.2001;Число мужчин на 1 января;Кишертский район;7843,00
1;01.01.2001;Число мужчин на 1 января;Красновишерский район;14088,00
1;01.01.2001;Число мужчин на 1 января;Куединский район;15923,00
1;01.01.2001;Число мужчин на 1 января;Кунгурский район;22880,00
1;01.01.2001;Число мужчин на 1 января;Нытвенский район;24422,00
1;01.01.2001;Число мужчин на 1 января;Октябрьский район;18661,00
1;01.01.2001;Число мужчин на 1 января;Ординский район;8517,00
1;01.01.2001;Число мужчин на 1 января;Осинский район;18155,00
1;01.01.2001;Число мужчин на 1 января;Оханский район;9177,00
1;01.01.2001;Число мужчин на 1 января;Очерский район;12032,00
1;01.01.2001;Число мужчин на 1 января;Пермский район;43206,00
1;01.01.2001;Число мужчин на 1 января;Сивинский район;8955,00
1;01.01.2001;Число мужчин на 1 января;Соликамский район;7540,00
1;01.01.2001;Число мужчин на 1 января;Суксунский район;11415,00
1;01.01.2001;Число мужчин на 1 января;Уинский район;6885,00
1;01.01.2001;Число мужчин на 1 января;Усольский район;6399,00
1;01.01.2001;Число мужчин на 1 января;Частинский район;7269,00
1;01.01.2001;Число мужчин на 1 января;Чердынский район;20036,00
