Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2000,Число мужчин на 1 января,Пермский край,1401820,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Пермский край', 1401820);"
1,01.01.2000,Число мужчин на 1 января,Бардымский район,13578,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Бардымский район', 13578);"
1,01.01.2000,Число мужчин на 1 января,Березовский район,8990,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Березовский район', 8990);"
1,01.01.2000,Число мужчин на 1 января,Большесосновский район,7689,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Большесосновский район', 7689);"
1,01.01.2000,Число мужчин на 1 января,Верещагинский район,21798,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Верещагинский район', 21798);"
1,01.01.2000,Число мужчин на 1 января,Горнозаводский район,17094,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Горнозаводский район', 17094);"
1,01.01.2000,Число мужчин на 1 января,Еловский район,6755,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Еловский район', 6755);"
1,01.01.2000,Число мужчин на 1 января,Ильинский район,11387,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Ильинский район', 11387);"
1,01.01.2000,Число мужчин на 1 января,Карагайский район,12067,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Карагайский район', 12067);"
1,01.01.2000,Число мужчин на 1 января,Кишертский район,7885,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Кишертский район', 7885);"
