Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2000,Число женщин на 1 января,Пермский край,1554702,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Пермский край', 1554702);"
1,01.01.2000,Число женщин на 1 января,Бардымский район,15607,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Бардымский район', 15607);"
1,01.01.2000,Число женщин на 1 января,Березовский район,9954,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Березовский район', 9954);"
1,01.01.2000,Число женщин на 1 января,Большесосновский район,8887,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Большесосновский район', 8887);"
1,01.01.2000,Число женщин на 1 января,Верещагинский район,25396,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Верещагинский район', 25396);"
1,01.01.2000,Число женщин на 1 января,Горнозаводский район,18120,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Горнозаводский район', 18120);"
1,01.01.2000,Число женщин на 1 января,Еловский район,7431,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Еловский район', 7431);"
1,01.01.2000,Число женщин на 1 января,Ильинский район,12953,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Ильинский район', 12953);"
1,01.01.2000,Число женщин на 1 января,Карагайский район,13987,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Карагайский район', 13987);"
1,01.01.2000,Число женщин на 1 января,Кишертский район,8918,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Кишертский район', 8918);"
1,01.01.2000,Число женщин на 1 января,Красновишерский район,15674,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Красновишерский район', 15674);"
1,01.01.2000,Число женщин на 1 января,Куединский район,17832,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Куединский район', 17832);"
1,01.01.2000,Число женщин на 1 января,Кунгурский район,25339,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Кунгурский район', 25339);"
1,01.01.2000,Число женщин на 1 января,Нытвенский район,27544,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Нытвенский район', 27544);"
1,01.01.2000,Число женщин на 1 января,Октябрьский район,20440,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Октябрьский район', 20440);"
1,01.01.2000,Число женщин на 1 января,Ординский район,9194,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Ординский район', 9194);"
1,01.01.2000,Число женщин на 1 января,Осинский район,19091,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Осинский район', 19091);"
